date,run,block,psnr,ssim,lpips,points,era,status,note
1970-01-01,citygsv2_mc_aerial_sh2_trim,24,,,,,舊資料集,待補,2026-08-17 自動補列; 舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-03-25,test_block_1,,,,,,舊資料集,作廢,舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-03-27,aerial_test_block_1_test,,,,,,舊資料集,作廢,舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-04-03,aerial_train_block_1,,,,,,舊資料集,待補,2026-08-17 自動補列; 舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-04-06,aerial_train_block_all_3x,,18.342214584350586,0.5928583145141602,0.5843842625617981,,舊資料集,作廢,"舊coarse, 不可當init; 舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)"
2026-04-09,citygsv2_mc_aerial_sh0_trim,24,31.163604736328125,0.9061245322227478,0.15765760838985443,~4M,舊資料集,作廢,"CityGSV2官方pipeline sh0; 舊28.9(b7)出處, SfM已換座標系不可比; 舊SfM座標系，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)"
2026-04-10,aerial_train_block_all,0,,,,,GT錯位,作廢,GT錯位期(影像對到鄰幀)，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-04-10,aerial_train_block_all,24,,,,,GT錯位,作廢,GT錯位期(影像對到鄰幀)，數據作廢; ckpt已刪2026-08-17(留其他檔案供復盤)
2026-04-10,citygsv2_mc_aerial_sh0_trim,0,29.72577476501465,0.8629401922225952,0.20979784429073334,~4M,舊資料集,作廢,"CityGSV2官方pipeline sh0; 舊28.9(b7)出處, SfM已換座標系不可比; 舊SfM座標系，數據作廢; 此塊未跑完/OOM，PSNR不可比; ckpt已刪2026-08-17(留其他檔案供復盤)"
2026-04-10,citygsv2_mc_aerial_sh0_trim,1,27.587759017944336,0.7976680994033813,0.31382790207862854,~4M,舊資料集,作廢,"CityGSV2官方pipeline sh0; 舊28.9(b7)出處, SfM已換座標系不可比; 舊SfM座標系，數據作廢; 此塊未跑完/OOM，PSNR不可比; ckpt已刪2026-08-17(留其他檔案供復盤)"
